字段1,字段2,字段3,字段4,字段5
美国,34952,84230829,81282964,1026670
印度,2487,43123129,42579693,524214
巴西,17355,30688390,29724682,664967
法国,30459,29183646,28170658,147257
德国,5917,25780270,23956700,137921
英国,0,22159805,21703057,176708
俄罗斯,4956,18260293,17647179,377670
韩国,25434,17795357,17120356,23744
意大利,36334,17057873,15894511,165244
土耳其,1407,15054322,14952428,98900
西班牙,0,12127122,11548089,105444
越南,1594,10696630,9355040,43065
阿根廷,0,9135308,8895999,128776
日本,35005,8383191,7951587,30065
荷兰,0,8067116,7993284,22292
伊朗,368,7228051,7020835,141224
澳大利亚,41722,6615190,6199822,7804
哥伦比亚,0,6095316,5928829,139821
印度尼西亚,257,6050776,5889534,156458
波兰,139,6003436,5335112,116207